ID;incident_dart;x;y;z
156;1140;0.000000;-0.125000;-1.216506
157;1154;-0.163158;0.000000;-1.239306
158;1156;-0.158786;0.125000;-1.206099
159;1164;-0.146842;0.216506;-1.115375
160;1172;-0.130526;0.250000;-0.991445
161;1180;-0.114211;0.216506;-0.867514
162;1188;-0.102267;0.125000;-0.776791
163;1196;-0.097895;0.000000;-0.743584
164;1204;-0.102267;-0.125000;-0.776791
165;1212;-0.114211;-0.216506;-0.867514
166;1220;-0.130526;-0.250000;-0.991445
167;1228;-0.146842;-0.216506;-1.115375
168;1236;-0.158786;-0.125000;-1.206099
169;1250;-0.323524;0.000000;-1.207407
170;1252;-0.314855;0.125000;-1.175055
171;1260;-0.291171;0.216506;-1.086667
172;1268;-0.258819;0.250000;-0.965926
173;1276;-0.226467;0.216506;-0.845185
174;1284;-0.202783;0.125000;-0.756797
175;1292;-0.194114;0.000000;-0.724444
176;1300;-0.202783;-0.125000;-0.756797
177;1308;-0.226467;-0.216506;-0.845185
178;1316;-0.258819;-0.250000;-0.965926
179;1324;-0.291171;-0.216506;-1.086667
180;1332;-0.314855;-0.125000;-1.175055
181;1346;-0.478354;0.000000;-1.154849
182;1348;-0.465537;0.125000;-1.123905
183;1356;-0.430519;0.216506;-1.039364
184;1364;-0.382684;0.250000;-0.923880
185;1372;-0.334848;0.216506;-0.808395
186;1380;-0.299830;0.125000;-0.723854
187;1388;-0.287013;0.000000;-0.692910
188;1396;-0.299830;-0.125000;-0.723854
189;1404;-0.334848;-0.216506;-0.808395
190;1412;-0.382684;-0.250000;-0.923880
191;1420;-0.430519;-0.216506;-1.039364
192;1428;-0.465537;-0.125000;-1.123905
193;1442;-0.625000;0.000000;-1.082532
194;1444;-0.608253;0.125000;-1.053526
195;1452;-0.562500;0.216506;-0.974279
196;1460;-0.500000;0.250000;-0.866026
197;1468;-0.437500;0.216506;-0.757772
198;1476;-0.391747;0.125000;-0.678525
199;1484;-0.375000;0.000000;-0.649519
200;1492;-0.391747;-0.125000;-0.678525
201;1500;-0.437500;-0.216506;-0.757772
202;1508;-0.500000;-0.250000;-0.866026
203;1516;-0.562500;-0.216506;-0.974279
204;1524;-0.608253;-0.125000;-1.053526
205;1538;-0.760952;0.000000;-0.991692
206;1540;-0.740562;0.125000;-0.965119
207;1548;-0.684857;0.216506;-0.892522
208;1556;-0.608761;0.250000;-0.793353
209;1564;-0.532666;0.216506;-0.694184
210;1572;-0.476961;0.125000;-0.621587
211;1580;-0.456571;0.000000;-0.595015
212;1588;-0.476961;-0.125000;-0.621587
213;1596;-0.532666;-0.216506;-0.694184
214;1604;-0.608761;-0.250000;-0.793353
215;1612;-0.684857;-0.216506;-0.892522
216;1620;-0.740562;-0.125000;-0.965119
217;1634;-0.883884;0.000000;-0.883883
218;1636;-0.860200;0.125000;-0.860200
219;1644;-0.795495;0.216506;-0.795495
220;1652;-0.707107;0.250000;-0.707107
221;1660;-0.618719;0.216506;-0.618718
222;1668;-0.554014;0.125000;-0.554013
223;1676;-0.530330;0.000000;-0.530330
224;1684;-0.554014;-0.125000;-0.554013
225;1692;-0.618719;-0.216506;-0.618718
226;1700;-0.707107;-0.250000;-0.707107
227;1708;-0.795495;-0.216506;-0.795495
228;1716;-0.860200;-0.125000;-0.860200
229;1730;-0.991692;0.000000;-0.760952
230;1732;-0.965119;0.125000;-0.740562
231;1740;-0.892522;0.216506;-0.684857
232;1748;-0.793353;0.250000;-0.608761
233;1756;-0.694184;0.216506;-0.532666
234;1764;-0.621587;0.125000;-0.476961
235;1772;-0.595015;0.000000;-0.456571
236;1780;-0.621587;-0.125000;-0.476961
237;1788;-0.694184;-0.216506;-0.532666
238;1796;-0.793353;-0.250000;-0.608761
239;1804;-0.892522;-0.216506;-0.684857
240;1812;-0.965119;-0.125000;-0.740562
241;1826;-1.082532;0.000000;-0.625000
242;1828;-1.053525;0.125000;-0.608253
243;1836;-0.974278;0.216506;-0.562500
244;1844;-0.866025;0.250000;-0.500000
245;1852;-0.757772;0.216506;-0.437500
246;1860;-0.678525;0.125000;-0.391747
247;1868;-0.649519;0.000000;-0.375000
248;1876;-0.678525;-0.125000;-0.391747
249;1884;-0.757772;-0.216506;-0.437500
250;1892;-0.866025;-0.250000;-0.500000
251;1900;-0.974278;-0.216506;-0.562500
252;1908;-1.053525;-0.125000;-0.608253
253;1922;-1.154849;0.000000;-0.478354
254;1924;-1.123905;0.125000;-0.465537
255;1932;-1.039364;0.216506;-0.430519
256;1940;-0.923880;0.250000;-0.382683
257;1948;-0.808395;0.216506;-0.334848
258;1956;-0.723854;0.125000;-0.299830
259;1964;-0.692910;0.000000;-0.287013
260;1972;-0.723854;-0.125000;-0.299830
261;1980;-0.808395;-0.216506;-0.334848
262;1988;-0.923880;-0.250000;-0.382683
263;1996;-1.039364;-0.216506;-0.430519
264;2004;-1.123905;-0.125000;-0.465537
265;2018;-1.207407;0.000000;-0.323524
266;2020;-1.175055;0.125000;-0.314855
267;2028;-1.086667;0.216506;-0.291171
268;2036;-0.965926;0.250000;-0.258819
269;2044;-0.845185;0.216506;-0.226467
270;2052;-0.756797;0.125000;-0.202783
271;2060;-0.724444;0.000000;-0.194114
272;2068;-0.756797;-0.125000;-0.202783
273;2076;-0.845185;-0.216506;-0.226467
274;2084;-0.965926;-0.250000;-0.258819
275;2092;-1.086667;-0.216506;-0.291171
276;2100;-1.175055;-0.125000;-0.314855
277;2114;-1.239306;0.000000;-0.163158
278;2116;-1.206099;0.125000;-0.158786
279;2124;-1.115375;0.216506;-0.146842
280;2132;-0.991445;0.250000;-0.130526
281;2140;-0.867514;0.216506;-0.114211
282;2148;-0.776791;0.125000;-0.102267
